DATA;HORA;CONSUM (Wh)
2016-08-25;16;1487
2016-08-25;17;457
2016-08-25;18;484
2016-08-25;19;541
2016-08-25;20;779
2016-08-25;21;2205
2016-08-25;22;887
2016-08-25;23;914
;;
2016-08-26;0;883
2016-08-26;1;717
2016-08-26;2;457
2016-08-26;3;550
2016-08-26;4;453
2016-08-26;5;490
2016-08-26;6;469
2016-08-26;7;457
2016-08-26;8;460
2016-08-26;9;1471
2016-08-26;10;1931
2016-08-26;11;2303
2016-08-26;12;1576
2016-08-26;13;677
2016-08-26;14;470
2016-08-26;15;445
2016-08-26;16;514
2016-08-26;17;683
2016-08-26;18;1602
2016-08-26;19;2216
2016-08-26;20;1350
2016-08-26;21;526
2016-08-26;22;495
2016-08-26;23;466
;;
2016-08-27;0;469
2016-08-27;1;426
2016-08-27;2;473
2016-08-27;3;423
2016-08-27;4;540
2016-08-27;5;511
2016-08-27;6;437
2016-08-27;7;449
2016-08-27;8;441
2016-08-27;9;1206
2016-08-27;10;634
2016-08-27;11;1636
2016-08-27;12;2446
2016-08-27;13;1288
2016-08-27;14;1180
2016-08-27;15;513
2016-08-27;16;423
2016-08-27;17;613
2016-08-27;18;484
2016-08-27;19;734
2016-08-27;20;2467
2016-08-27;21;785
2016-08-27;22;510
2016-08-27;23;477
;;
2016-08-28;0;475
2016-08-28;1;425
2016-08-28;2;467
2016-08-28;3;459
2016-08-28;4;450
2016-08-28;5;441
2016-08-28;6;468
2016-08-28;7;1058
2016-08-28;8;808
2016-08-28;9;442
2016-08-28;10;520
2016-08-28;11;427
2016-08-28;12;442
2016-08-28;13;1199
2016-08-28;14;616
2016-08-28;15;427
2016-08-28;16;437
2016-08-28;17;435
2016-08-28;18;420
2016-08-28;19;464
2016-08-28;20;1220
2016-08-28;21;2119
2016-08-28;22;666
2016-08-28;23;607
;;
2016-08-29;0;478
2016-08-29;1;467
2016-08-29;2;493
2016-08-29;3;438
2016-08-29;4;485
2016-08-29;5;449
2016-08-29;6;443
2016-08-29;7;590
2016-08-29;8;670
2016-08-29;9;477
2016-08-29;10;455
2016-08-29;11;389
2016-08-29;12;488
2016-08-29;13;835
2016-08-29;14;956
2016-08-29;15;460
2016-08-29;16;498
2016-08-29;17;464
2016-08-29;18;551
2016-08-29;19;1768
